Date,Num,Name,A/P Paid
03/20/2026,9000-4113-9016 Mar26,City of Houston,Unpaid
01/29/2025,9096144,City of Houston,Unpaid
02/05/2026,020526,City of Houston,Unpaid
02/05/2026,020526,City of Houston,Unpaid
02/25/2025,1768065177,City of Houston,Unpaid
05/27/2025,C13804953,Centerpoint Energy,Unpaid
05/23/2025,13877233-0,Centerpoint Energy,Unpaid
01/05/2026,010526,City of Houston,Unpaid
03/25/2025,1810377471,City of Houston,Unpaid
10/27/2025,2106655707,City of Houston,Unpaid
10/27/2025,2106655707,City of Houston,Unpaid
06/23/2025,C16134772,Centerpoint Energy,Unpaid
10/30/2025,2110247349,City of Houston,Unpaid
10/30/2025,2110247349-fee,City of Houston,Unpaid
03/31/2025,9152340,City of Houston,Unpaid
03/31/2025,9152424,City of Houston,Unpaid
05/20/2025,1888606105,City of Houston,Unpaid
04/02/2025,1825273907,City of Houston,Unpaid
11/05/2025,200341681276,City of Houston,Unpaid
11/05/2025,200341681276,City of Houston,Unpaid
12/10/2025,2172689495,City of Houston,Unpaid
08/26/2025,71012,City of Houston,Unpaid
08/26/2025,1-0000971012,City of Houston,Unpaid
08/25/2025,082525,City of Houston,Unpaid
10/09/2025,2084769191,City of Houston,Unpaid
12/10/2025,2172689495,City of Houston,Unpaid
02/06/2025,020625,City of Houston,Unpaid
02/20/2026,9406709 Fee,City of Houston,Unpaid
02/20/2026,9406709,City of Houston,Unpaid
02/27/2025,9123074,City of Houston,Unpaid
02/27/2025,9123073,City of Houston,Unpaid
02/27/2025,9123075,City of Houston,Unpaid
06/05/2025,C14580500,Centerpoint Energy,Unpaid
10/10/2025,2087114835,City of Houston,Unpaid
09/30/2025,2068473525-fee,City of Houston,Unpaid
09/30/2025,2068473525,City of Houston,Unpaid
10/10/2025,4835,City of Houston,Unpaid
01/12/2026,2218947847,City of Houston,Unpaid
01/12/2026,2218947847,City of Houston,Unpaid
01/12/2026,2218946581,City of Houston,Unpaid
01/12/2026,2218946581,City of Houston,Unpaid
01/13/2026,2221478995,City of Houston,Unpaid
01/13/2026,2221478995,City of Houston,Unpaid
01/13/2026,2220185675,City of Houston,Unpaid
01/13/2026,2220185675 Fee,City of Houston,Unpaid
09/16/2025,2052840789,City of Houston,Unpaid
02/27/2025,9123072,City of Houston,Unpaid
09/16/2025,2052840789,City of Houston,Unpaid
06/10/2025,1918187859,City of Houston,Unpaid
10/21/2025,2100464533,City of Houston,Unpaid
10/21/2025,2100464533-Fee,City of Houston,Unpaid
09/09/2025,50071-ProcFee,City of Houston,Unpaid
09/09/2025,2043250071,City of Houston,Unpaid
01/29/2026,2240729149,City of Houston,Unpaid
01/29/2026,2240729149 fee,City of Houston,Unpaid
06/16/2025,061625,City of Houston,Unpaid
06/16/2025,061625,City of Houston,Unpaid
06/16/2025,061625,City of Houston,Unpaid
06/17/2025,061725,City of Houston,Unpaid
01/29/2025,9096146,City of Houston,Unpaid
08/25/2025,2018534603,City of Houston,Unpaid
11/11/2025,2131033597,City of Houston,Unpaid
07/25/2025,326601,City of Houston,Unpaid
03/03/2026,2300595557,City of Houston,Unpaid
03/03/2026,2300495557-fee,City of Houston,Unpaid
11/11/2025,2131019013,City of Houston,Unpaid
11/11/2025,2131019013 Fee,City of Houston,Unpaid
11/11/2025,2131033597,City of Houston,Unpaid
03/09/2026,200493265881,City of Houston,Unpaid
03/09/2026,200493265881,City of Houston,Unpaid
01/13/2025,1713092277,City of Houston,Unpaid
01/28/2025,1729684845,City of Houston,Unpaid
11/12/2025,111225,City of Houston,Unpaid
11/17/2025,2139940931,City of Houston,Unpaid
07/25/2025,326601,City of Houston,Unpaid
03/03/2026,2300500569,City of Houston,Unpaid
11/17/2025,2139940931 Fee,City of Houston,Unpaid
05/05/2025,1870316421,City of Houston,Unpaid
04/24/2025,1851154483,City of Houston,Unpaid
11/20/2025,2422-1632-1487 Nov25,City of Houston,Unpaid
04/29/2025,1856424683,City of Houston,Unpaid
04/29/2025,042925,City of Houston,Unpaid
03/18/2026,9000-4113-1013 Mar26,City of Houston,Unpaid
03/18/2026,9000-4113-2011 Mar26,City of Houston,Unpaid
08/05/2025,327257,City of Houston,Unpaid
08/05/2025,327257,City of Houston,Unpaid
03/20/2026,9000-4113-8018 Mar26,City of Houston,Unpaid
03/03/2026,2300500569-fee,City of Houston,Unpaid
10/09/2025,2084769191,City of Houston,Unpaid
02/26/2026,2286484867,City of Houston,Unpaid
03/03/2026,2300495989-fee,City of Houston,Unpaid
02/26/2026,2285019769-Fee,City of Houston,Unpaid
02/26/2026,2286484867-Fee,City of Houston,Unpaid
03/03/2026,2300495989,City of Houston,Unpaid
02/26/2026,2285019769,City of Houston,Unpaid
01/28/2025,1729677389,City of Houston,Unpaid
10/17/2025,2930-4620-2140 Oct25,City of Houston,Paid
10/14/2025,2038-9796-1256 Oct25,City of Houston,Paid
10/20/2025,2864-4705-1017 Oct25,City of Houston,Paid
10/13/2025,9000-3652-4016 Oct25,City of Houston,Paid
10/13/2025,9000-3652-0014 Oct25,City of Houston,Paid
10/13/2025,9000-3652-3018 Oct25,City of Houston,Paid
10/13/2025,9000-3652-2010 Oct25,City of Houston,Paid
11/20/2025,112025,Centerpoint Energy,Paid
11/20/2025,112025,Centerpoint Energy,Paid
10/13/2025,9000-3652-1012 Oct25,City of Houston,Paid
11/05/2025,13915053-6 Nov25,Centerpoint Energy,Paid
11/05/2025,13915059-3 Nov25,Centerpoint Energy,Paid
11/05/2025,13915043-7 Nov25,Centerpoint Energy,Paid
11/05/2025,13915055-1 Nov25,Centerpoint Energy,Paid
11/04/2025,13962666-7 Nov25,Centerpoint Energy,Paid
11/05/2025,13915060-1 Nov25,Centerpoint Energy,Paid
10/22/2025,9000-3515-9012 Oct25,City of Houston,Paid
11/20/2025,112025,City of Houston,Paid
11/20/2025,112025,Reliant,Paid
11/05/2025,13921185-8 Nov25,Centerpoint Energy,Paid
11/05/2025,13921186-6 Nov25,Centerpoint Energy,Paid
11/05/2025,13921187-4 Nov25,Centerpoint Energy,Paid
11/05/2025,24 225 946-3 Nov25,Reliant,Paid
11/05/2025,9000-3232-8016 Nov25,City of Houston,Paid
10/13/2025,9000-3651-9016 Oct25,City of Houston,Paid
10/13/2025,2408-9636-1955 Oct25,City of Houston,Paid
11/24/2025,4327-7908-8058 Nov25,City of Houston,Paid
11/05/2025,13921189-0 Nov25,Centerpoint Energy,Paid
11/05/2025,9000-3232-5012 Nov25,City of Houston,Paid
10/22/2025,2422-1632-1487 Oct25,City of Houston,Paid
11/14/2025,9000-3652-3018 Nov25,City of Houston,Paid
11/05/2025,13921188-2 Nov25,Centerpoint Energy,Paid
11/14/2025,2408-9636-1955,City of Houston,Paid
11/03/2025,24 480 496-9 Nov25,Reliant,Paid
11/03/2025,24 480 495-1 Nov25,Reliant,Paid
11/04/2025,24 225 948-9 Nov25,Reliant,Paid
11/03/2025,24 480 494-4 Nov25,Reliant,Paid
11/03/2025,24 480 493-6 Nov25,Reliant,Paid
11/04/2025,23 204 855-3 Nov25,Reliant,Paid
11/03/2025,24 480 492-8 Nov25,Reliant,Paid
11/05/2025,13816841-4 Nov25,Centerpoint Energy,Paid
11/06/2025,110625,City of Houston,Paid
10/30/2025,103025,City of Houston,Paid
11/05/2025,13816837-2 Nov25 F,Centerpoint Energy,Paid
11/05/2025,24 504 176-9 Nov25,Reliant,Paid
10/23/2025,102325,City of Houston,Paid
10/23/2025,102325,City of Houston,Paid
11/05/2025,24 225 947-1 Nov25,Reliant,Paid
11/12/2025,9000-3651-9016 Nov25,City of Houston,Paid
11/12/2025,9000-3652-0014 Nov25,City of Houston,Paid
11/12/2025,9000-3652-1012 Nov25,City of Houston,Paid
11/12/2025,9000-3652-2010 Nov25,City of Houston,Paid
11/12/2025,9000-3652-4016 Nov25,City of Houston,Paid
11/13/2025,111325,Centerpoint Energy,Paid
11/13/2025,2038-9796-1256 Nov25,City of Houston,Paid
11/13/2025,23 847 915-8 Nov25,Reliant,Paid
11/13/2025,23 847 916-6 Nov25,Reliant,Paid
11/13/2025,23 847 917-4 Nov25,Reliant,Paid
